Id	Type	Site	Quality	Star	WeaponSkillId	Priority	DefaultLock	CharacterId	SuitId	Name	Description	NeedFirstShow
2013001	1	0	3	3	2013001	10080	0			Standard Pistol	Standard pistol used by Construct squads. Simple and easy to maintain.	0
2014001	1	0	4	4	2014001	11080	0			Tokarev	A pistol from an previous era. Crude but hardy, it continues to see service.	0
2015001	1	0	5	5	2015001	12080	0			Gloomlight	Designed for silent and rapid delivery of firepower, it boasts both quiet operation and high firing rate.	0
2016001	1	0	6	6	2016001	20800	0			Wolf Fang	Specialized firearm focusing on single-shot performance. Not very accurate, but inflicts incredible damage.	0
2016002	1	0	6	6	2016002	20801	0			Zero Scale	Connected to Babylonia's support systems, this weapon is equipped with energy management and ballistic guidance capabilities.	0
2022001	2	0	2	2	2022001	1010	0			Standard Knife	Standard knife issued to Constructs. Mass-produced and easy to use.	0
2023001	2	0	3	3	2023001	10010	0			Combat Knife	Knife typically carried for personal defense.	0
2024001	2	0	4	4	2024001	11010	0			Unbranded Blade	There is no inscription by the maker, but the blade itself is perfectly sharp and deadly.	0
2024002	2	0	4	4	2024001	11010	0			Unbranded Blade	There is no inscription by the maker, but the blade itself is perfectly sharp and deadly.	0
2025001	2	0	5	5	2025001	12010	0			Kuji no Sada	A curious katana based on a legendary blade. No longer suited for the modern battlefield.	0
2026001	2	0	6	6	2026001	20100	0			Lotus Berserker	In addition to a keen edge, the Lotus Berserker is also connected to the M.I.N.D., allowing it to synchronize with the Construct and enabling different types of attacks.	0
2026002	2	0	6	6	2026002	20110	0			Inverse - Shadow	'Inverse' is the name of an experimental project that has resulted in the creation of this prototype.	0
2026003	2	0	6	6	2026003	20120	0			Sirius	Its power as a weapon is nothing to write home about, but it is much sought after for its attractive appearance.	0
2026004	2	0	6	6	2026004	20130	0			Sakura		0
2032001	3	0	2	2	2032001	1020	0			Levitator	Basic mind-controlled levitating attack device, easy for new Construct members to pick up.	0
2033001	3	0	3	3	2033001	10020	0			Semi-Auto Turret	Levitating attack device with partially autonomous AI, reducing the burden on the user.	0
2034001	3	0	4	4	2034001	11020	0			Fish Mount	Equipped with state-of-the-art computing capability, it is able to operate freely on the battlefield, delivering devastating firepower. Has been known to get out of control on rare occasions.	0
2035001	3	0	5	5	2035001	12020	0			Guardian Mount	Equipped with the virtual personality 'Aurora', it is a fully-independent, stand-alone weapon platform that is even capable of forming emotional attachment with the user over time.	0
2036001	3	0	6	6	2036001	20200	0			Type Zero	Prototype levitator. The dated design limits its mobility, but its firepower is nothing to scoff at.	0
2036002	3	0	6	6	2036002	20210	0			Benediction	Levitator designed for support Constructs, with improved electromagnetic command field performance at the expense of firepower. Bested used in team operations.	0
2036003	3	0	6	6	2036003	20220	0			Dragon Wind	Exclusive to the White Swan, its performance is every bit worthy of the grandiose name.	0
2043001	4	0	3	3	2043001	10030	0			Practice Bow	Composite bow for practice with low draw-weight, designed to be handled by beginners.	0
2044001	4	0	4	4	2044001	11030	0			Pulley Bow	Pulley-assisted composite bow, with firepower comparable to firearms.	0
2045001	4	0	5	5	2045001	12030	0			Falcon E-3320	Developed by Kurono Holdings' weapons development arm, it is as unruly as it is powerful, resulting in production being canceled due to the difficulty of finding suitable users.	0
2046001	4	0	6	6	2046001	20300	0			Ramiel	Named after the fallen angel, its tracking capability ensures a kill regardless of the environment.	0
2053001	5	0	3	3	2053001	10040	0			Chainsaw	A common tool that can also be used as a weapon.	0
2054001	5	0	4	4	2054001	11040	0			Noise	Massive chainsaw that runs on gasoline. Its biggest weakness is the effort needed to get it started.	0
2055001	5	0	5	5	2055001	12040	0			Lightning Spark	The first generation of chainsaw developed specifically as a weapon. Named after the sparks it created during testing.	0
2056001	5	0	6	6	2056001	20400	0			Inverse - Chimera	'Inverse' is the name of an experimental project. This weapon received the moniker 'chimera' due to its integration of the project's results.	0
2056002	5	0	6	6	2056002	20410	0			Hydro Heat		0
2063001	6	0	3	3	2063001	10050	0			Greatsword	Common greatsword for Construct use. Heavy and unwieldy.	0
2064001	6	0	4	4	2064001	11050	0			Suppressor	Greatsword with long reach and strong defensive capability, typically used in riot suppression.	0
2065001	6	0	5	5	2065001	12050	0			Dynamo Greatsword	Greatsword with form-change capability. Able to fire shockwaves when its internal energy tank is filled.	0
2065050	6	0	5	5	2065050	12060	1			Star of Bethlehem		0
2066001	6	0	6	6	2066001	20500	0			Big Kamui	Originally given a different name, it was renamed by Kamui after he took a liking to it. It is able to synchronize with the user's M.I.N.D. and increase its power.	0
2066002	6	0	6	6	2066002	20510	0			Darkness	Modified weapon recovered from a Corrupted. The obsession of its previous owner can be felt just by holding it in one's hand.	0
2073001	7	0	3	3	2073001	10060	0			Bazooka	Bazooka for Construct use. Can be used as a blunt weapon when out of ammo.	0
2074001	7	0	4	4	2074001	11060	0			Rifled Gun	Rifling greatly increases the efficiency of delivery.	0
2075001	7	0	5	5	2075001	12060	0			Magma Pillar	Prototype cannon equipped with an internal reactor. Be careful of overheating.	0
2075002	7	0	5	5	2075002	12061	0			Firecrackers		0
2076001	7	0	6	6	2076001	20600	0			Berserk Fusion	Said to have been used by insurgents against the Unified Earth government. Many modifications and additions have been added to the total detriment of usability, to the extent that it almost seems grotesque.	0
2076002	7	0	6	6	2076002	20601	0			Fusion Dragon	High-energy hand cannon that can fire flames like a dragon's breath.	0
2083001	8	0	3	3	2083001	10070	0			Machete	Common knife, not suited for high-intensity combat.	0
2084001	8	0	4	4	2084001	11070	0			Hunter Knife	Well-designed knife that can be handily wielded even by Constructs who are not good at knives.	0
2085001	8	0	5	5	2085001	12070	0			Stone Heart	The special alloys used make it much heavier than it looks. Very powerful despite its small size.	0
2085002	8	0	5	5	2085002	12071	0			Yuan Night		0
2086001	8	0	6	6	2086001	20700	0			Soul Ripper	Dagger equipped with ion vibrator, causing severe damage to the area around the wound. Requires great skill to use effectively.	0
2086002	8	0	6	6	2086002	21700	0			Peacemaker		0
