Id	FightEventId	ScoreAdd	PointSub	BanCharacterId[0]	BanCharacterId[1]	BanCharacterId[2]	BanCharacterId[3]	BanCharacterId[4]	BanCharacterId[5]	BanCharacterId[6]	BanCharacterId[7]	BanCharacterId[8]	BanCharacterId[9]	BanCharacterId[10]	BanCharacterId[11]	BanCharacterId[12]	BanCharacterId[13]
1	1004	1															
2	1005	2															
3	1006	3															
4	1007	4															
5	2001	5															
6	2002	6															
7	2003		1														
8	2004		2														
9	2005		3														
10	2006		4														
11	2007		5														
12	2008		6														
13	2009		7														
14	2010		8														
10001		4		1021001	1051001	1061002	1071002	1081002	1021002	1061003	1071003	1051003	1021003	1081003	1091002	1011003	1121002
10002		4		1011002	1031001	1041002	1031002	1031003	1041003	1111002							
10011		4		1011002	1021001	1041002	1071002	1081002	1021002	1011003	1071003	1021003	1081003	1041003			
10021		4		1031001	1031002	1031003	1111002										
10031		4		1051001	1061002	1061003	1051003	1091002	1121002								
11001	11001	1															
11002	11002	2															
11003	11003	3															
11011	11011	1															
11012	11012	2															
11013	11013	3															
11031	11031	1															
11032	11032	1															
11033	11033	3															
11034	11034	5															
11041	11041	3															
11042	11042	6															
11043	11043	9															
11044	11044	12															
11045	11045	15															
11051	11051	1															
11052	11052	2															
11053	11053	3															
11061	11061	1															
11062	11062	3															
11063	11063	5															
11131	11131	2															
11141	11062	3															
11142	11063	5															
12001	12001	1															
12002	12002	3															
12003	12003	5															
12051	12051	1															
12052	12052	3															
12053	12053	5															
12101	12101	2															
12111	12111	2															
12121	12121	1															
12122	12122	3															
12123	12123	5															
12131	12131	1															
12132	12132	3															
12133	12133	6															
12151	12151	6															
13001	13001	2															
13002	13002	4															
13003	13003	6															
13051	13051	2															
13052	13052	2															
13053	13053	2															
13071	13071	2															
13072	13072	4															
13073	13073	6															
13081	13081	2															
21001	21001		1														
21011	21011		1														
21101	21101		1														
21111	21111		1														
21121	21121		1														
21131	21131		1														
21211	21211		1														
21221	21221		1														
21261	21261		1														
21271	21271		1														
22051	22051		1														
22061	22061		1														
22071	22071		1														
22081	22081		1														
22091	22091		1														
22101	22101		1														
22111	22111		1														
22121	22121		1														
22131	22131		1														
22141	22141		1														
22151	22151		1														
22161	22161		1														
22171	22171		1														
22181	22181		1														
22191	22191		1														
22201	22201		1														
22211	22211		1														
22221	22221		1														
22231	22231		1														
31071	31071	1															
31072	31072	1															
31073	31073	1															
32001	32001	3															
32011	32011	1															
32012	32012	3															
32013	32013	5															
32021	32021	1															
32022	32022	3															
32023	32023	5															
32031	32031	2															
32032	32032	4															
32033	32033	6															
32041	32041	4															
32042	32042	4															
32043	32043	4															
32061	32061	1															
32062	32062	3															
32063	32063	5															
32071	32071	1															
32072	32072	3															
32073	32073	5															
32081	32081	1															
32082	32082	2															
32083	32083	3															
32091	32091	2															
32101	32101	3															
32111	32111	1															
32112	32112	2															
32113	32113	3															
32121	32121	2															
32131	32131	4															
32141	32141	1															
32142	32142	2															
32143	32143	3															
32151	32151	4															
32161	32161	2															
32171	32072	4															
32172	32073	6															
33001	33001	4															
33002	33002	4															
33003	33003	4															
33021	33021	5															
33031	33031	1															
33032	33032	3															
33033	33033	5															
33061	33061	1															
33062	33062	3															
33063	33063	5															
33091	33091	3															
33101	33101	2															
33102	33102	4															
33103	33103	6															
33111	33111	2															
33112	33112	4															
33113	33113	6															
33121	33121	2															
33122	33122	4															
33123	33123	6															
