StageId	ModelId	BossName	Score	BossLoseHpScore	LeftTimeScore	LeftHpScore	DifficultyType	DifficultyDesc	DifficultyDescEn	AutoFight	SkillTitle[1]	SkillDesc[1]	SkillTitle[2]	SkillDesc[2]	SkillTitle[3]	SkillDesc[3]	SkillTitle[4]	SkillDesc[4]	SkillTitle[5]	SkillDesc[5]	SkillTitle[6]	SkillDesc[6]	SkillTitle[7]	SkillDesc[7]	SkillTitle[8]	SkillDesc[8]	SkillTitle[9]	SkillDesc[9]	AttackName[1]	AttackName[2]	AttackName[3]
30000101	Me1SwordMd002001	Musashi IX	12500	5000	6000	1500	1	Test	TEST	1	Fused Armor	Riot control robot, only specially designed frames can break its armor. (Increases damage received from Tank-type Constructs.)	Jet Blade	Musashi IX fires a powerful blade shockwave at the enemy.	Leaguestep	Musashi IX closes the distance quickly with an enemy.	Blade Storm	Musashi IX spins his great sword, unleashing shockwaves at nearby enemies.													
30000102	Me1SwordMd002001	Musashi IX	25000	10000	12000	3000	2	Elite	ELITES	1	Fused Armor	Riot control robot, only specially designed frames can break its armor. (Increases damage received from Tank-type Constructs.)	Heart of Sword Mode	Musashi IX conceals his own form, leaving only a shadow behind, and unleashes a shockwave at the enemy.	Jet Blade	Musashi IX fires a powerful blade shockwave at the enemy.	Leaguestep	Musashi IX closes the distance quickly with an enemy.	Blade Storm	Musashi IX spins his great sword, unleashing shockwaves at nearby enemies.											
30000103	Me1SwordMd002001	Musashi IX	50000	20000	24000	6000	3	Knight	KNIGHT	1	Fused Armor	Riot control robot, only specially designed frames can break its armor. (Increases damage received from Tank-type Constructs.)	Blade Shockwave	Musashi IX unleashes multiple shockwaves at an enemy from multiple directions.	Heart of Sword Mode	Musashi IX conceals his own form, leaving only a shadow behind, and unleashes a shockwave at the enemy.	Jet Blade	Musashi IX fires a powerful blade shockwave at the enemy.	Leaguestep	Musashi IX closes the distance quickly with an enemy.	Blade Storm	Musashi IX spins his great sword, unleashing shockwaves at nearby enemies.									
30000104	Me1SwordMd002001	Musashi IX	100000	40000	48000	12000	4	Chaos	CHAOS	0	Fused Armor	Riot control robot, only specially designed frames can break its armor. (Increases damage received from Tank-type Constructs.)	Scorched Earth	Bends the battlefield to his will, causing enemies on the battlefield to continuously take extra damage.	Blade Shockwave	Musashi IX unleashes multiple shockwaves at an enemy from multiple directions.	Heart of Sword Mode	Musashi IX conceals his own form, leaving only a shadow behind, and unleashes a shockwave at the enemy.	Jet Blade	Musashi IX fires a powerful blade shockwave at the enemy.	Leaguestep	Musashi IX closes the distance quickly with an enemy.	Blade Storm	Musashi IX spins his great sword, unleashing shockwaves at nearby enemies.							
30000105	Me1SwordMd002001	Musashi IX	200000	80000	96000	24000	5	Hell	HELL	0	Fused Armor	Riot control robot, only specially designed frames can break its armor. (Increases damage received from Tank-type Constructs.)	Scorched Earth	Bends the battlefield to his will, causing enemies on the battlefield to continuously take extra damage.	Blade Shockwave	Musashi IX unleashes multiple shockwaves at an enemy from multiple directions.	Heart of Sword Mode	Musashi IX conceals his own form, leaving only a shadow behind, and unleashes a shockwave at the enemy.	Jet Blade	Musashi IX fires a powerful blade shockwave at the enemy.	Leaguestep	Musashi IX closes the distance quickly with an enemy.	Blade Storm	Musashi IX spins his great sword, unleashing shockwaves at nearby enemies.							
30000201	Mb1OrphanMd030001	Nozzle	12500	5000	6000	1500	1	Test	TEST	1	Fire Fear	The external tubing has stored a lot of organic composite pigments. Highly flammable and prone to explode. (Reduces Fire Resistance.)	Ice Proof	Its body is made with a special metal for storing new types of pigments. Performs well in low temperatures and not easily corroded. (Reduces Ice DMG received.)	Burst	Throws an ice bomb at an enemy.	Leap Attack	Smashes the ground, dealing area damage.	Spray	Sprays the ground with ice, which deals damage over time to enemies.											
30000202	Mb1OrphanMd030001	Nozzle	25000	10000	12000	3000	2	Elite	ELITES	1	Fire Fear	The external tubing has stored a lot of organic composite pigments. Highly flammable and prone to explode. (Reduces Fire Resistance.)	Ice Proof	Its body is made with a special metal for storing new types of pigments. Performs well in low temperatures and not easily corroded. (Reduces Ice DMG received.)	Jump Smash	Smashes the ground multiple times, dealing area damage.	Burst	Throws an ice bomb at an enemy.	Leap Attack	Smashes the ground, dealing area damage.	Spray	Sprays the ground with ice, which deals damage over time to enemies.									
30000203	Mb1OrphanMd030001	Nozzle	50000	20000	24000	6000	3	Knight	KNIGHT	1	Fire Fear	The external tubing has stored a lot of organic composite pigments. Highly flammable and prone to explode. (Reduces Fire Resistance.)	Ice Proof	Its body is made with a special metal for storing new types of pigments. Performs well in low temperatures and not easily corroded. (Reduces Ice DMG received.)	Jump Smash	Smashes the ground multiple times, dealing area damage.	Burst	Throws an ice bomb at an enemy.	Leap Attack	Smashes the ground, dealing area damage.	Spray	Sprays the ground with ice, which deals damage over time to enemies.									
30000204	Mb1OrphanMd030001	Nozzle	100000	40000	48000	12000	4	Chaos	CHAOS	0	Fire Fear	The external tubing has stored a lot of organic composite pigments. Highly flammable and prone to explode. (Reduces Fire Resistance.)	Ice Proof	Its body is made with a special metal for storing new types of pigments. Performs well in low temperatures and not easily corroded. (Reduces Ice DMG received.)	Scorched Earth	Bends the battlefield to his will, causing enemies on the battlefield to continuously take extra damage.	Boosted Spray	Sprays the ground with ice, which deals damage over time to enemies. Ice duration extended	Jump Smash	Smashes the ground multiple times, dealing area damage.	Burst	Throws an ice bomb at an enemy.	Leap Attack	Smashes the ground, dealing area damage.							
30000205	Mb1OrphanMd030001	Nozzle	200000	80000	96000	24000	5	Hell	HELL	0	Fire Fear	The external tubing has stored a lot of organic composite pigments. Highly flammable and prone to explode. (Reduces Fire Resistance.)	Ice Proof	Its body is made with a special metal for storing new types of pigments. Performs well in low temperatures and not easily corroded. (Reduces Ice DMG received.)	Scorched Earth	Bends the battlefield to his will, causing enemies on the battlefield to continuously take extra damage.	Boosted Spray	Sprays the ground with ice, which deals damage over time to enemies. Ice duration extended	Jump Smash	Smashes the ground multiple times, dealing area damage.	Burst	Throws an ice bomb at an enemy.	Leap Attack	Smashes the ground, dealing area damage.							
