StageId	Name	Description	Icon	BgmId	LoadingType	RewardTipId	EventId	NormalEventIdOnPassed	UnlockEventId	NormalEventId[1]	NormalEventId[2]	PreEventId[1]	PreEventId[2]	OrderId	RecommandLevel	IsMultiplayer	HaveAssist	StandardUseTimeSec	RequireLevel	RequireActionPoint	PassTimeLimit	PreStageId[1]	PreStageId[2]	PreStageId[3]	FlopRewardId	FinishRewardShow	FirstRewardShow	FinishDropId	FirstRewardId	StarRewardId[2]	StarRewardId[3]	StarRewardId	TeamExp	CardExp	MaxChallengeNums	BuyChallengeCost	BuyChallengeCount	KeepPlayingStory	BeginStoryId	EndStoryId	OnlinePlayerLeast	OnlinePlayerLimit	StarDesc[1]	StarDesc[2]	StarDesc[3]	SuggestedConditionId[1]	SuggestedConditionId[2]	SuggestedConditionId[3]	ForceConditionId[1]	ForceConditionId[2]	ForceConditionId[3]	HaveFirstPass	FirstGotoSkipId	FunctionLeftBtn	FunctionRightBtn	RobotId[1]	RobotId[2]	RobotId[3]	UrgentEventId[1]	UrgentEventId[2]	UrgentEventId[3]	RebootId	AutoFightId	StageType	StageGridStyle	FightControlId	DisableJoystick	NeedJobType[1]	NeedJobType[2]	NeedJobType[3]
1	Fake Stage for Close Beta Only	A new commandant has arrived to join Gray Raven on a mission to take back the Earth.		101				1						1			1			6													6									3	N/A	N/A	N/A																				Rectangle			1	2	3
2	Fake Stage for Close Beta Only	A new commandant has arrived to join Gray Raven on a mission to take back the Earth.		101				1						1			1			6													6									3	N/A	N/A	N/A							1	1010	2	1										Rectangle			1	2	3
10010001	Dawn	A new commandant has arrived to join Gray Raven on a mission to take back the Earth.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabNormal01.png	101				1						1	1		1		1	6													6	10					1100141			3	Have all members survive	Die less than once	Clear in 150s							1		2	1							1			Rectangle		1	1	2	3
10010002	Dawn	A new commandant has arrived to join Gray Raven on a mission to take back the Earth.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabNormal02.png	111				1						2	1		1		1	6													6	10					1100142			3	Have all members survive	Die less than once	Clear in 150s							1		2	1							1			Rectangle		1	1	2	3
10010003	Dawn	A new commandant has arrived to join Gray Raven on a mission to take back the Earth.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabNormal03.png	112				1						3	1		1		1	6													6	10					1100143	3100143		3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1										Rectangle			1	2	3
10010004	Dawn	A new commandant has arrived to join Gray Raven on a mission to take back the Earth.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabNormal01.png	111				1						4	1		1		1	6													6	10								3	Have all members survive	Die less than once	Clear in 150s							1		2	1							1			Rectangle			1	2	3
10010101	A Brief Transit	To ensure the victory in Zone Q1, Gray Raven decided to head further into the zone.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						1	3		1		1	6	300					100101010	10010101	100101	10010101				6	11	10				1100111	3100111		3	Have all members survive	Die less than once	Clear in 150s							1		2	1							1	1		Square	1		1	2	3
10010102	Farewell Gift	During the battle, Gray Raven received a rendezvous signal, so they decided to set C-point as the temporary destination.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	101				1						2	3		1		1	6	300	10010101				100101020	10010102	100102	10010102				6	11	10				1100112			3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1							1	1		Square	2	1	1	2	3
10010103	Graffiti Blast	Lee didn't think Liv was fit for battle, so he asked her to follow behind. However, they were ambushed, and Liv decided to pick up a weapon.	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTabN0101.png	101				1						3	4		1		1	6	300	10010102				100101030	10010103	100103	10010103				6	11	10				1100113			3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1							1	1		Rectangle	3		1	2	3
10010104	Full Strength	Commandant, now you can try using Liv in the battle. - Lucia	Assets/Product/Texture/Image/UiFubenMainTab/FubenMainTab01.png	111				1						4	4		1		1	6	300	10010103				100101040	10010104	100104	10010104				6	11	10				1100114			3	Have all members survive	Die less than once	Clear in 150s							1	21	2	1							1	1		Square	4		1	2	3
